Q (mW/m2),U (mW/m2),X,Y,Lat,Lon
80.155,47.418,792831,-2498924,-66.205,162.397
87.523,53.498,772759,-2478853,-66.427,162.686
87.232,57.076,792831,-2478853,-66.374,162.264
84.904,55.282,732616,-2458781,-66.701,163.408
79.861,49.273,752688,-2458781,-66.649,162.979
82.599,56.507,732616,-2438709,-66.871,163.279
84.787,39.661,652329,-2418638,-67.236,164.906
84.566,44.05,672401,-2418638,-67.189,164.464
80.734,39.635,652329,-2398566,-67.408,164.785
57.009,23.523,1033691,-2157706,-68.235,154.402
55.378,23.274,1053763,-2157706,-68.157,153.97
54.478,24.314,853046,-2137634,-69.045,158.245
52.708,21.353,1013620,-2137634,-68.473,154.631
49.471,22.599,1033691,-2137634,-68.396,154.193
52.384,19.118,1053763,-2137634,-68.317,153.759
57.642,25.734,772759,-2117562,-69.467,159.952
57.36,23.458,792831,-2117562,-69.405,159.474
54.082,21.066,812903,-2117562,-69.342,158.999
53.601,21.709,832974,-2117562,-69.277,158.527
50.695,21.675,853046,-2117562,-69.211,158.058
51.478,22.665,873118,-2117562,-69.143,157.593
52.293,23.146,893189,-2117562,-69.074,157.13
50.511,23.139,913261,-2117562,-69.004,156.67
49.787,19.845,933333,-2117562,-68.933,156.214
51.193,20.167,953405,-2117562,-68.86,155.761
50.444,19.989,973476,-2117562,-68.786,155.311
51.772,18.712,993548,-2117562,-68.711,154.864
51.016,20.368,1013620,-2117562,-68.634,154.421
49.8,20.059,1033691,-2117562,-68.556,153.981
51.992,19.461,1053763,-2117562,-68.477,153.544
59.125,24.162,752688,-2097491,-69.697,160.259
56.684,25.32,772759,-2097491,-69.635,159.775
53.886,21.299,792831,-2097491,-69.573,159.294
53.897,21.14,812903,-2097491,-69.509,158.816
52.996,23.617,832974,-2097491,-69.443,158.341
52.472,20.642,853046,-2097491,-69.377,157.868
55.461,22.914,873118,-2097491,-69.308,157.4
56.873,22.087,893189,-2097491,-69.239,156.934
55.182,22.428,913261,-2097491,-69.168,156.471
54.341,20.818,933333,-2097491,-69.096,156.012
51.733,22.504,953405,-2097491,-69.023,155.556
47.191,20.878,973476,-2097491,-68.948,155.103
49.311,18.537,993548,-2097491,-68.872,154.654
48.755,18.523,1013620,-2097491,-68.795,154.208
50.584,19.052,1033691,-2097491,-68.717,153.765
48.426,17.897,1053763,-2097491,-68.637,153.325
59.37,25.274,1154121,-2097491,-68.221,151.179
78.826,30.096,491756,-2077419,-70.534,166.682
73.705,26.377,511827,-2077419,-70.491,166.159
75.305,27.307,531899,-2077419,-70.448,165.639
74.737,29.737,551971,-2077419,-70.402,165.12
71.661,28.905,612186,-2077419,-70.257,163.58
64.437,29.188,652329,-2077419,-70.153,162.567
62.153,26.716,672401,-2077419,-70.098,162.065
59.474,24.619,712544,-2077419,-69.985,161.068
58.106,23.527,732616,-2077419,-69.926,160.574
55.832,18.228,752688,-2077419,-69.865,160.084
57.989,24.184,772759,-2077419,-69.803,159.596
54.992,22.986,792831,-2077419,-69.74,159.111
55.676,22.111,812903,-2077419,-69.676,158.629
53.515,23.058,832974,-2077419,-69.61,158.151
56.78,22.409,853046,-2077419,-69.542,157.676
52.789,23.56,873118,-2077419,-69.474,157.203
55.659,22.769,893189,-2077419,-69.404,156.735
55.956,22.494,913261,-2077419,-69.332,156.269
52.241,25.05,933333,-2077419,-69.259,155.807
51.481,20.532,953405,-2077419,-69.185,155.348
51.522,22.062,973476,-2077419,-69.11,154.892
55.823,20.885,993548,-2077419,-69.034,154.44
49.142,18.104,1013620,-2077419,-68.956,153.991
47.764,18.939,1033691,-2077419,-68.877,153.546
